action_type	serialized_occurrences	source_candidates	resolution
HutongGames.PlayMaker.Actions.SetPlayerDataString	465	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/SetPlayerDataString.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPlayerDataVariable	862	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPlayerDataVariable.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPoisonTintOverride	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPoisonTintOverride.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPoisonTintReadFromTool	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPoisonTintReadFromTool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPolygonCollider	2289	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetPolygonCollider.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPolygonColliderTrigger	11	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPolygonColliderTrigger.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPosition	14625	"[""Assets/PlayMaker/Actions/Transform/SetPosition.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPosition2D	2229	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPosition2D.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPosition2DV2	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPosition2DV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPosition2d	2487	"[""Assets/PlayMaker/Actions/Transform/SetPosition2d.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPositionTemp	36	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPositionTemp.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPositionToObject	1691	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetPositionToObject.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPositionToObject2D	1392	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPositionToObject2D.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPositionToObject2DLateUpdate	5	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPositionToObject2DLateUpdate.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPositionToObject2DV2	6	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPositionToObject2DV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPositionToObjectDelay	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPositionToObjectDelay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetProperty	697	"[""Assets/PlayMaker/Actions/UnityObject/SetProperty.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetPropertyV2	42	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetPropertyV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRandomAudioClipFromTable	850	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetRandomAudioClipFromTable.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRandomRotation	179	"[""Assets/PlayMaker/Actions/Transform/SetRandomRotation.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRecoilBlocked	1509	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetRecoilBlocked.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRecoilFreeze	297	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/SetRecoilFreeze.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRecoilSpeed	1341	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/SetRecoilSpeed.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRemaskerExited	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetRemaskerExited.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRendererSortingLayer	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetRendererSortingLayer.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRigidBody2dInterpolation	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetRigidBody2dInterpolation.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRotation	8885	"[""Assets/PlayMaker/Actions/Transform/SetRotation.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRotation2DLerp	6	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetRotation2DLerp.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRotationDelay	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetRotationDelay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetRotationTimer	341	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetRotationTimer.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetScale	3632	"[""Assets/PlayMaker/Actions/Transform/SetScale.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetSceneManagerActorSnapshot	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetSceneManagerActorSnapshot.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetShardDrop	61	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetShardDrop.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetShopItemPurchasedV2	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetShopItemPurchasedV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetSkipNextActorFadeIn	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetSkipNextActorFadeIn.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetSpecialDeath	450	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/SetSpecialDeath.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetSpriteColor	14	"[""Assets/PlayMaker/Actions/SpriteRenderer/SetSpriteColor.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetSpriteRenderer	2305	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetSpriteRenderer.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetSpriteRendererOrder	66	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetSpriteRendererOrder.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetSpriteRendererSprite	115	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetSpriteRendererSprite.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetSpriteValue	14	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetSpriteValue.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetStateTransitionAnimator	500	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetStateTransitionAnimator.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetStringValue	15658	"[""Assets/PlayMaker/Actions/String/SetStringValue.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetStringValueBool	82	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetStringValueBool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetTag	197	"[""Assets/PlayMaker/Actions/GameObject/SetTag.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetTalkTableOverride	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetTalkTableOverride.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetTextMeshProAlignment	11	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetTextMeshProAlignment.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetTextMeshProColor	986	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetTextMeshProColor.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetTextMeshProText	798	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetTextMeshProText.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetToolLocked	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetToolLocked.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetToolUnlocked	15	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetToolUnlocked.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetTransformParent	179	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetTransformParent.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetTransitionBlocked	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetTransitionBlocked.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVector2Value	256	"[""Assets/PlayMaker/Actions/Vector2/SetVector2Value.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVector2XY	985	"[""Assets/PlayMaker/Actions/Vector2/SetVector2XY.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVector3Value	170	"[""Assets/PlayMaker/Actions/Vector3/SetVector3Value.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVector3XYZ	1298	"[""Assets/PlayMaker/Actions/Vector3/SetVector3XYZ.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVelocity2d	24124	"[""Assets/PlayMaker/Actions/Physics2D/SetVelocity2d.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVelocity2dBool	740	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetVelocity2dBool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVelocity2dConditional	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetVelocity2dConditional.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVelocity2dIfFalse	49	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetVelocity2dIfFalse.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVelocityAsAngle	2790	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SetVelocityAsAngle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVelocityByScale	7691	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetVelocityByScale.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SetVibrationManagerStrength	9	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SetVibrationManagerStrength.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShakePositionV2	34	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ShakePositionV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShopHasStock	61	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShopHasStock.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShopHasStockNotInfinite	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShopHasStockNotInfinite.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShopWasItemPurchased	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShopWasItemPurchased.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShoveFromBouncer	10	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShoveFromBouncer.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShoveFromPlayer	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShoveFromPlayer.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShoveFromWall	494	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShoveFromWall.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShowCollectableUIMsg	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShowCollectableUIMsg.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShowControlReminderSingle	101	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShowControlReminderSingle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShowControlReminderSingleGroup	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShowControlReminderSingleGroup.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShowCustomNeedolinMsg	11	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShowCustomNeedolinMsg.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShowCustomNeedolinMsgFromTemplate	38	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShowCustomNeedolinMsgFromTemplate.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShowNeedolinTextForOwnerInState	50	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShowNeedolinTextForOwnerInState.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShowNpcDialogueTitle	55	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShowNpcDialogueTitle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShowRelicBoard	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShowRelicBoard.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ShowToolCrestUIMsg	18	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ShowToolCrestUIMsg.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SilkBossIdleBuzz	40	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SilkBossIdleBuzz.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SilkCloudNextOrb	15	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SilkCloudNextOrb.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SilkRationMachineGetRation	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SilkRationMachineGetRation.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SimpleTiltByVelocityX	8	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SimpleTiltByVelocityX.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SimpleTiltOtherByVelocityX	8	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SimpleTiltOtherByVelocityX.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Sleep2d	2	"[""Assets/PlayMaker/Actions/Physics2D/Sleep2d.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnObjectFromGlobalPool	8708	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SpawnObjectFromGlobalPool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnObjectFromGlobalPoolDelay	90	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpawnObjectFromGlobalPoolDelay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnObjectFromGlobalPoolOverTime	47	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SpawnObjectFromGlobalPoolOverTime.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnObjectFromGlobalPoolOverTimeV2	52	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SpawnObjectFromGlobalPoolOverTimeV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnObjectFromGlobalPoolV2	15	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpawnObjectFromGlobalPoolV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnPowerUpGetMsg	11	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpawnPowerUpGetMsg.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnProjectile	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpawnProjectile.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnProjectileV2	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpawnProjectileV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnRandomObjects	30	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/SpawnRandomObjects.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnRandomObjectsRadial	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpawnRandomObjectsRadial.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnRandomObjectsRadialRandom	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpawnRandomObjectsRadialRandom.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnRandomObjectsRadialV2	48	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpawnRandomObjectsRadialV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnRunEffects	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpawnRunEffects.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpawnSkillGetMsg	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpawnSkillGetMsg.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SpriteFlashSetBlocked	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SpriteFlashSetBlocked.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartCinematic	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartCinematic.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartClimber	19	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartClimber.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartCoroutine	1	"[""Assets/PlayMaker/Actions/ScriptControl/StartCoroutine.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartFadeOutAudioSource	22	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartFadeOutAudioSource.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartFreeCameraMode	10	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartFreeCameraMode.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartFreeCameraModeV2	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartFreeCameraModeV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartGameplayTimer	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartGameplayTimer.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartHeroTalkAnimation	6	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartHeroTalkAnimation.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartNeedolinAudioLoop	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartNeedolinAudioLoop.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartPreloadingScene	46	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartPreloadingScene.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartRoarEmitter	284	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartRoarEmitter.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartRoarEmitterV2	14	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartRoarEmitterV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartRosaryCannonCharge	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartRosaryCannonCharge.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StartWalkerV2	90	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StartWalkerV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopClimber	57	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StopClimber.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopParticleEmitter	3732	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/StopParticleEmitter.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopParticleEmitterOnExit	6	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StopParticleEmitterOnExit.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopParticleEmittersInChildren	716	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/StopParticleEmittersInChildren.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopParticleEmittersInChildrenV2	74	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StopParticleEmittersInChildrenV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopPlayParticleEffectsInChildren	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StopPlayParticleEffectsInChildren.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopRoarEmitter	29	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StopRoarEmitter.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopRosaryCannonCharge	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StopRosaryCannonCharge.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopRunEffects	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StopRunEffects.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopVibrationV2	14	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StopVibrationV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StopWalkerV2	347	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StopWalkerV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StoreTrackTriggerListAsArray	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/StoreTrackTriggerListAsArray.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StringCompare	6668	"[""Assets/PlayMaker/Actions/Logic/StringCompare.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StringContains	13	"[""Assets/PlayMaker/Actions/Logic/StringContains.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.StringSwitch	266	"[""Assets/PlayMaker/Actions/Logic/StringSwitch.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SubtractHP	24	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/SubtractHP.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.SuperJumpRaycast	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/SuperJumpRaycast.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.TakeCurrency	19	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/TakeCurrency.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.TakeDamage	17	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/TakeDamage.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.TakeSilk	44	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/TakeSilk.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.TakeSilkV2	10	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/TakeSilkV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.TiltBySpeed	426	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/TiltBySpeed.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.TiltBySpeedY	168	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/TiltBySpeedY.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2DAnimationByDirection	13	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/Tk2DAnimationByDirection.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dIsPlaying	2	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/Tk2dIsPlaying.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dPlayAnimation	28747	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/Tk2dPlayAnimation.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dPlayAnimationChildren	13	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/Tk2dPlayAnimationChildren.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dPlayAnimationDelay	23	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/Tk2dPlayAnimationDelay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dPlayAnimationWait	501	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/Tk2dPlayAnimationWait.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dPlayAnimationWaitV2	36	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/Tk2dPlayAnimationWaitV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dPlayAnimationWithEvents	31295	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/Tk2dPlayAnimationWithEvents.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dPlayAnimationWithEventsV2	40	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/Tk2dPlayAnimationWithEventsV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dPlayAnimationWithEventsV3	33	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/Tk2dPlayAnimationWithEventsV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dPlayFrame	3082	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/Tk2dPlayFrame.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Tk2dPlayRandomAnimationWithEvents	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/Tk2dPlayRandomAnimationWithEvents.cs""]"	exact_declared_type
